break

[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
break

[167 167 113]
[182 183 127]
[188 190 131]
[104 106  46]
[17 21  0]
[16 21  0]
[48 54  0]
[120 127  54]
[110 117  44]
[70 76  5]
[16 22  0]
[21 26  0]
[16 20  0]
[24 27  0]
[93 96 34]
[66 70  0]
[81 90  0]
[35 46  0]
[26 33  0]
[19 23  0]
[23 24  0]
[18 17  0]
[66 64 10]
[99 98 47]
[80 80 26]
[35 35  0]
[16 15  0]
[23 24  0]
[24 24  0]
[14 12  0]
[39 35  0]
[85 83 43]
[59 58  7]
[52 53  0]
[16 16  0]
[23 22  0]
[30 29  0]
[19 16  0]
[16 13  0]
[85 82 38]
[95 91 50]
[53 49  8]
[19 15  0]
[16 12  0]
[16 13  0]
[16 13  0]
[29 26  0]
[58 57  7]
[90 92 32]
[63 67  1]
[32 33  0]
[16 19  0]
[18 18  0]
[19 20  0]
[25 23  0]
[22 21  0]
[23 19  0]
[31 28  0]
[30 24  0]
[16 11  0]
[18  9  0]
[16 10  0]
[28 19  0]
[27 24  0]
[41 45  0]
[42 51  0]
[89 94 19]
[24 30  0]
[24 25  0]
[22 24  0]
[18 15  0]
[16 15  0]
[18 13  0]
[64 61 16]
[89 85 37]
[93 92 41]
[58 56  2]
[16 18  0]
[21 21  0]
[17 17  0]
[16 10  0]
[44 37 10]
[146 137 110]
[164 157 130]
[162 153 126]
[53 46 19]
[22 13  0]
[14  7  0]
[23 14  0]
[14  7  0]
[92 83 56]
[165 158 131]
[194 185 158]
[178 171 144]
[77 68 41]
[14  7  0]
[17 12  0]
[15 11  0]
[22 18  0]
[126 122  98]
[192 188 164]
[198 194 170]
[170 165 144]
[39 34 13]
[11  5  0]
[23 17  0]
[11  5  0]
[79 73 54]
[166 159 142]
[198 191 174]
[207 200 183]
[130 125 110]
[39 33 20]
[7 3 0]
[7 3 0]
[39 35 24]
[168 164 153]
[151 147 136]
[159 156 142]
[178 175 161]
[84 81 67]
[15 12  0]
[7 4 0]
[7 4 0]
[66 63 48]
[176 173 158]
[166 163 148]
[152 149 134]
[182 182 164]
[22 22  4]
[5 5 0]
[14 14  0]
[10  9  0]
[98 97 77]
[185 184 164]
[141 140 120]
[171 168 147]
[140 137 116]
[19 15  0]
[11  7  0]
[11  7  0]
[11  7  0]
[91 86 61]
[198 192 169]
[190 183 166]
[139 134 119]
[81 76 61]
[9 4 0]
[9 4 0]
[16 11  0]
[10  5  0]
[92 87 72]
[162 157 142]
[120 115 100]
[59 54 39]
[14  9  0]
[23 18  3]
[15 10  0]
[9 4 0]
[23 18  3]
[17 13  0]
[86 82 64]
[35 26 12]
[12  3  0]
[20  7  0]
[19  6  0]
[18  2  0]
[18  2  0]
[18  1  0]
[16  1  0]
[24 12  2]
[16  7  0]
[9 2 0]
[5 3 0]
[18 17  7]
[5 3 0]
[11  2  0]
[24 12  0]
[27 15  3]
[14  2  0]
[14  2  0]
[24 12  0]
[27 15  3]
[14  2  0]
[14  2  0]
[14  2  0]
[14  2  0]
[14  2  0]
[14  2  0]
[17  5  0]
[14  2  0]
[12  3  0]
[7 4 0]
[5 5 0]
[8 8 0]
[12 12  0]
[5 5 0]
[5 5 0]
[10 10  0]
[7 7 0]
[5 5 0]
[5 5 0]
[7 7 0]
[9 9 0]
[10 10  0]
[13 13  0]
[7 7 0]
[5 6 0]
[5 8 0]
[ 5 10  0]
[5 9 0]
[17 23  0]
[5 9 0]
[11 17  0]
[4 9 0]
[ 9 17  0]
[14 22  0]
[ 6 17  0]
[ 3 13  0]
[ 3 14  0]
[ 2 12  0]
[ 0 11  0]
[ 1 11  0]
[ 5 16  0]
[ 3 11  0]
[ 2 10  0]
[ 2 10  0]
[ 2 10  0]
[ 2 10  0]
[ 2 10  0]
[ 5 13  0]
[ 7 15  0]
[ 4 12  0]
[ 4 12  0]
[ 5 13  0]
[ 6 14  0]
[ 6 14  0]
[ 5 13  0]
[ 3 11  0]
[4 9 0]
[ 9 11  0]
[ 8 10  0]
[7 9 0]
[5 9 0]
[ 8 12  0]
[12 17  0]
[16 22  0]
[17 25  0]
[20 28  0]
[22 33  0]
[28 39  6]
[29 43  7]
[30 44  8]
[31 48 11]
[37 51 15]
[41 56 18]
[37 49 13]
[34 46 10]
[29 41  5]
[25 37  1]
[20 32  0]
[14 26  0]
[ 6 18  0]
[ 0 12  0]
[ 4 16  0]
[ 3 15  0]
[ 2 14  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 11  0]
[ 0 12  0]
[ 0 12  0]
[ 0 11  0]
[ 0 11  0]
[ 1 10  0]
[ 3 10  0]
[5 9 0]
[6 8 0]
[8 7 0]
[8 7 0]
[10  6  0]
[12  5  0]
[13  5  0]
[15  4  0]
[15  4  0]
[13  4  0]
[10  6  0]
[8 6 0]
[8 6 0]
[8 6 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 8 0]
[8 8 0]
[8 8 0]
[8 8 0]
[8 9 0]
[8 9 0]
[10  9  0]
[10  9  0]
[10  9  0]
[10  9  0]
[ 8 10  0]
[ 8 10  0]
[ 6 10  0]
[ 6 10  0]
[ 6 10  0]
[ 6 10  0]
[ 5 10  0]
[ 5 10  0]
[ 3 11  0]
[ 3 11  0]
[ 3 11  0]
[ 5 10  0]
[8 8 0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[8 8 0]
[8 8 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[8 8 0]
[8 8 0]
[8 9 0]
[8 9 0]
[8 9 0]
[8 9 0]
[6 9 0]
[6 9 0]
[5 7 0]
[5 7 0]
[3 6 0]
[3 4 0]
[3 4 0]
[3 3 0]
[3 1 0]
[3 1 0]
[1 2 0]
[0 3 0]
[0 2 0]
[0 2 0]
[0 2 0]
[0 2 0]
[0 2 0]
[0 2 0]
[0 3 0]
[0 3 0]
[0 4 0]
[0 6 0]
[0 6 0]
[0 8 0]
[0 8 0]
[1 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[5 7 0]
[6 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[6 7 0]
[6 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 7 0]
[3 7 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[5 7 0]
[6 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[6 7 0]
[5 7 0]
[5 7 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 7 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[3 6 0]
[5 5 0]
[6 4 0]
[8 4 0]
[8 4 0]
[8 4 0]
[8 4 0]
[8 4 0]
[6 4 0]
[6 4 0]
[5 5 0]
[5 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 5 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 4 0]
[3 3 0]
[3 3 0]
[3 3 0]
[3 3 0]
[3 2 0]
[3 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 1 1]
[1 1 1]
[1 1 1]
[1 1 1]
[1 0 2]
[1 0 2]
[1 0 4]
[1 0 4]
[1 0 4]
[1 0 4]
[1 0 5]
[1 0 4]
[3 1 1]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 1]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[3 1 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
break

[57 55  7]
[102 101  51]
[93 92 41]
[24 24  0]
[16 17  0]
[22 24  0]
[17 20  0]
[42 45  0]
[41 44  0]
[17 20  0]
[23 25  0]
[16 18  0]
[16 16  0]
[22 21  0]
[23 22  0]
[23 25  0]
[24 30  0]
[18 26  0]
[18 23  0]
[19 20  0]
[25 24  0]
[18 14  0]
[23 17  0]
[19 16  0]
[18 15  0]
[14 14  0]
[14 14  0]
[13 14  0]
[14 14  0]
[12 10  0]
[13  9  0]
[16 13  0]
[14 13  0]
[21 21  0]
[14 14  0]
[17 16  0]
[15 13  0]
[18 15  0]
[14 10  0]
[21 16  0]
[17 12  0]
[14  9  0]
[14  9  0]
[14  9  0]
[14 10  0]
[18 14  0]
[17 14  0]
[14 12  0]
[16 18  0]
[14 17  0]
[16 16  0]
[14 17  0]
[18 17  0]
[18 18  0]
[17 14  0]
[14 13  0]
[16 11  0]
[14 11  0]
[16 10  0]
[23 18  0]
[22 14  0]
[14  8  0]
[16  7  0]
[14 12  0]
[18 20  0]
[14 22  0]
[20 24  0]
[14 19  0]
[16 16  0]
[29 30  0]
[16 13  0]
[14 12  0]
[16 10  0]
[19 16  0]
[16 11  0]
[17 15  0]
[16 13  0]
[14 15  0]
[20 19  0]
[16 16  0]
[18 13  0]
[17 13  0]
[31 24  0]
[45 41 13]
[34 27  0]
[12  8  0]
[14  7  0]
[20 16  0]
[33 26  0]
[12  8  0]
[15  8  0]
[45 41 13]
[85 78 51]
[68 64 36]
[14  7  0]
[26 22  0]
[11  7  0]
[13  9  0]
[11  7  0]
[33 29  5]
[98 94 70]
[106 102  78]
[73 68 47]
[24 19  0]
[11  5  0]
[27 21  2]
[11  5  0]
[22 16  0]
[97 90 73]
[172 165 148]
[169 162 145]
[83 78 63]
[9 3 0]
[8 4 0]
[10  7  0]
[15 12  0]
[109 106  92]
[167 164 150]
[194 191 177]
[179 176 162]
[70 67 53]
[7 4 0]
[7 4 0]
[7 4 0]
[29 26 11]
[133 130 115]
[192 189 174]
[176 173 158]
[196 193 178]
[26 23  8]
[7 5 0]
[26 24  6]
[9 5 0]
[64 60 42]
[182 178 159]
[171 167 148]
[164 159 138]
[152 147 126]
[30 23  3]
[19 12  0]
[33 27  4]
[12  6  0]
[51 43 20]
[183 176 156]
[165 158 141]
[184 179 164]
[159 154 139]
[32 27 12]
[11  6  0]
[20 15  0]
[9 4 0]
[129 124 109]
[178 173 158]
[193 188 173]
[173 168 153]
[65 60 45]
[9 4 0]
[9 4 0]
[17 12  0]
[9 4 0]
[86 82 64]
[197 193 175]
[165 157 140]
[116 108  91]
[31 18  4]
[16  3  0]
[22  6  0]
[29 13  0]
[26 10  0]
[76 62 50]
[103  91  81]
[114 105  95]
[53 47 36]
[5 3 0]
[6 5 0]
[9 7 0]
[18  9  0]
[20  8  0]
[14  2  0]
[30 18  6]
[26 14  2]
[14  2  0]
[14  2  0]
[23 11  0]
[24 12  0]
[14  2  0]
[14  2  0]
[20  8  0]
[20  8  0]
[14  2  0]
[14  2  0]
[25 16  2]
[9 4 0]
[7 5 0]
[9 7 0]
[12 10  0]
[7 5 0]
[7 5 0]
[7 5 0]
[11  9  0]
[16 14  0]
[7 5 0]
[7 5 0]
[7 5 0]
[7 5 0]
[7 5 0]
[7 5 0]
[7 6 0]
[7 7 0]
[10 12  0]
[7 8 0]
[ 9 13  0]
[ 9 10  0]
[ 7 11  0]
[5 8 0]
[ 8 13  0]
[ 5 10  0]
[ 2 10  0]
[2 9 0]
[ 8 16  0]
[ 9 16  0]
[ 0 10  0]
[2 9 0]
[ 4 12  0]
[11 18  0]
[10 15  0]
[ 8 13  0]
[ 8 13  0]
[ 9 14  0]
[ 8 13  0]
[4 9 0]
[4 9 0]
[ 5 10  0]
[ 6 11  0]
[ 7 12  0]
[ 8 13  0]
[ 8 13  0]
[ 7 12  0]
[ 7 12  0]
[ 6 11  0]
[8 9 0]
[9 8 0]
[9 8 0]
[ 9 11  0]
[12 14  0]
[15 19  0]
[20 24  0]
[22 28  0]
[27 33  2]
[31 40  7]
[40 49 16]
[43 54 21]
[44 55 22]
[42 56 20]
[45 57 21]
[46 58 22]
[52 63 30]
[51 60 27]
[48 57 24]
[44 53 20]
[38 47 14]
[30 39  6]
[20 29  0]
[13 22  0]
[ 6 15  0]
[ 5 14  0]
[ 3 12  0]
[ 2 11  0]
[ 2 11  0]
[ 2 11  0]
[ 2 11  0]
[ 0 11  0]
[ 1 12  0]
[ 0 12  0]
[ 1 11  0]
[ 1 11  0]
[ 1 10  0]
[ 3 10  0]
[5 9 0]
[6 9 0]
[8 7 0]
[8 7 0]
[10  6  0]
[12  6  0]
[12  6  0]
[13  5  0]
[13  5  0]
[13  5  0]
[10  6  0]
[10  6  0]
[10  6  0]
[10  6  0]
[10  6  0]
[10  6  0]
[10  6  0]
[10  6  0]
[10  7  0]
[10  7  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  9  0]
[10  9  0]
[10  9  0]
[10  9  0]
[10  9  0]
[10  9  0]
[ 8 10  0]
[ 8 10  0]
[ 8 10  0]
[ 8 10  0]
[ 6 10  0]
[ 6 10  0]
[ 5 10  0]
[ 5 10  0]
[ 5 10  0]
[ 5 10  0]
[ 3 11  0]
[ 5 10  0]
[8 8 0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[8 8 0]
[8 8 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[6 9 0]
[8 8 0]
[8 8 0]
[8 9 0]
[8 9 0]
[8 9 0]
[8 9 0]
[6 9 0]
[6 9 0]
[5 7 0]
[5 7 0]
[3 6 0]
[3 4 0]
[3 4 0]
[3 3 0]
[3 1 0]
[3 1 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 2 0]
[1 3 0]
[1 4 0]
[1 5 0]
[1 6 0]
[1 7 0]
[1 7 0]
[1 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[3 8 0]
[5 7 0]
[6 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[6 7 0]
[6 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
[5 6 0]
